ShipmentID,CustomerName,OriginPort,DestinationPort,Carrier,BookingDate,ETD,ETA,ATD,ATA,PlannedTransitDays,ActualTransitDays,DelayDays,DelayReason,ShipmentStatus,Priority
SHP1373,Arabian Supplies,Busan,Jebel Ali,COSCO,2024-06-21,2024-06-24,2024-07-08,2024-06-24,2024-07-08,14,14,0,None,On Time,High
SHP1374,Al Noor Trading,Busan,Abu Dhabi,Maersk,2024-04-29,2024-05-02,2024-05-20,2024-05-03,2024-05-26,18,23,5,Customs Hold,Delayed,Medium
SHP1375,Gulf Imports,Qingdao,Abu Dhabi,Hapag Lloyd,2024-02-21,2024-02-24,2024-03-13,2024-02-25,2024-03-17,18,21,3,Documentation Issue,Delayed,Medium
SHP1376,Blue Ocean LLC,Shanghai,Jebel Ali,Hapag Lloyd,2024-02-20,2024-02-23,2024-03-11,2024-02-23,2024-03-11,17,17,0,None,On Time,Medium
SHP1377,Arabian Supplies,Singapore,Abu Dhabi,Maersk,2024-06-11,2024-06-14,2024-06-28,2024-06-14,2024-06-29,14,15,1,Vessel Rollover,Delayed,High
SHP1378,Gulf Imports,Singapore,Abu Dhabi,Maersk,2024-05-15,2024-05-18,2024-06-04,2024-05-19,2024-06-07,17,19,2,Port Congestion,Delayed,High
SHP1379,Falcon Electronics,Shanghai,Jebel Ali,Hapag Lloyd,2024-02-29,2024-03-03,2024-03-23,2024-03-04,2024-03-28,20,24,4,Vessel Rollover,Delayed,High
SHP1380,Blue Ocean LLC,Singapore,Jebel Ali,MSC,2024-06-12,2024-06-15,2024-07-05,2024-06-15,2024-07-04,20,19,0,None,On Time,Medium
SHP1381,Desert Mart,Qingdao,Abu Dhabi,MSC,2024-03-07,2024-03-10,2024-03-29,2024-03-11,2024-04-04,19,24,5,Customs Hold,Delayed,High
SHP1382,Al Noor Trading,Ningbo,Abu Dhabi,COSCO,2024-02-21,2024-02-24,2024-03-11,2024-02-24,2024-03-16,16,21,5,Weather,Delayed,Medium
SHP1383,Blue Ocean LLC,Shenzhen,Abu Dhabi,CMA CGM,2024-04-14,2024-04-17,2024-05-02,2024-04-18,2024-05-06,15,18,3,Weather,Delayed,High
SHP1384,Al Noor Trading,Ningbo,Abu Dhabi,MSC,2024-01-24,2024-01-27,2024-02-12,2024-01-28,2024-02-18,16,21,5,Documentation Issue,Delayed,High
SHP1385,Desert Mart,Ningbo,Jebel Ali,COSCO,2024-03-04,2024-03-07,2024-03-26,2024-03-07,2024-03-28,19,21,2,Customs Hold,Delayed,Medium
SHP1386,Al Noor Trading,Ningbo,Jebel Ali,Maersk,2024-05-22,2024-05-25,2024-06-11,2024-05-26,2024-06-11,17,16,0,None,On Time,High
SHP1387,Desert Mart,Singapore,Jebel Ali,Hapag Lloyd,2024-02-26,2024-02-29,2024-03-16,2024-03-01,2024-03-17,16,16,0,None,On Time,Low
SHP1388,Gulf Imports,Singapore,Abu Dhabi,Evergreen,2024-03-07,2024-03-10,2024-03-25,2024-03-10,2024-03-24,15,14,0,None,On Time,High
SHP1389,Blue Ocean LLC,Shanghai,Jebel Ali,Hapag Lloyd,2024-01-24,2024-01-27,2024-02-15,2024-01-27,2024-02-14,19,18,0,None,On Time,Medium
SHP1390,Falcon Electronics,Qingdao,Jebel Ali,CMA CGM,2024-04-11,2024-04-14,2024-05-05,2024-04-15,2024-05-05,21,20,0,None,On Time,High
SHP1391,Al Noor Trading,Busan,Jebel Ali,ONE,2024-02-17,2024-02-20,2024-03-09,2024-02-21,2024-03-11,18,19,1,Weather,Delayed,Medium
SHP1392,Al Noor Trading,Shenzhen,Abu Dhabi,MSC,2024-05-07,2024-05-10,2024-05-30,2024-05-11,2024-06-03,20,23,3,Port Congestion,Delayed,Medium
SHP1393,Arabian Supplies,Singapore,Abu Dhabi,COSCO,2024-02-21,2024-02-24,2024-03-12,2024-02-24,2024-03-16,17,21,4,Vessel Rollover,Delayed,Low
SHP1394,Desert Mart,Ningbo,Jebel Ali,CMA CGM,2024-05-04,2024-05-07,2024-05-26,2024-05-08,2024-05-30,19,22,3,Vessel Rollover,Delayed,Low
SHP1395,Arabian Supplies,Qingdao,Abu Dhabi,Evergreen,2024-02-26,2024-02-29,2024-03-14,2024-03-01,2024-03-20,14,19,5,Port Congestion,Delayed,Low
SHP1396,Falcon Electronics,Ningbo,Abu Dhabi,Hapag Lloyd,2024-02-29,2024-03-03,2024-03-19,2024-03-03,2024-03-18,16,15,0,None,On Time,Low
SHP1397,Arabian Supplies,Ningbo,Jebel Ali,MSC,2024-01-15,2024-01-18,2024-02-04,2024-01-19,2024-02-08,17,20,3,Customs Hold,Delayed,Low
SHP1398,Emirates Retail,Busan,Jebel Ali,Hapag Lloyd,2024-03-22,2024-03-25,2024-04-13,2024-03-25,2024-04-16,19,22,3,Customs Hold,Delayed,High
SHP1399,Al Noor Trading,Shanghai,Jebel Ali,MSC,2024-05-06,2024-05-09,2024-05-27,2024-05-10,2024-05-28,18,18,0,None,On Time,Low
SHP1400,Desert Mart,Busan,Jebel Ali,Evergreen,2024-02-26,2024-02-29,2024-03-14,2024-03-01,2024-03-18,14,17,3,Port Congestion,Delayed,High
SHP1401,Al Noor Trading,Ningbo,Jebel Ali,Evergreen,2024-03-28,2024-03-31,2024-04-16,2024-04-01,2024-04-22,16,21,5,Port Congestion,Delayed,High
SHP1402,Falcon Electronics,Singapore,Abu Dhabi,Hapag Lloyd,2024-05-14,2024-05-17,2024-06-05,2024-05-18,2024-06-05,19,18,0,None,On Time,High
SHP1403,Falcon Electronics,Qingdao,Abu Dhabi,ONE,2024-03-27,2024-03-30,2024-04-17,2024-03-30,2024-04-18,18,19,1,Weather,Delayed,Medium
SHP1404,Blue Ocean LLC,Shenzhen,Abu Dhabi,MSC,2024-02-14,2024-02-17,2024-03-07,2024-02-17,2024-03-07,19,19,0,None,On Time,High
SHP1405,Emirates Retail,Shenzhen,Jebel Ali,ONE,2024-01-01,2024-01-04,2024-01-24,2024-01-04,2024-01-29,20,25,5,Weather,Delayed,Low
SHP1406,Falcon Electronics,Shanghai,Jebel Ali,CMA CGM,2024-01-27,2024-01-30,2024-02-20,2024-01-31,2024-02-21,21,21,0,None,On Time,Medium
SHP1407,Al Noor Trading,Shenzhen,Jebel Ali,MSC,2024-02-12,2024-02-15,2024-03-01,2024-02-16,2024-03-07,15,20,5,Vessel Rollover,Delayed,Low
SHP1408,Al Noor Trading,Qingdao,Abu Dhabi,ONE,2024-01-18,2024-01-21,2024-02-09,2024-01-21,2024-02-10,19,20,1,Port Congestion,Delayed,Medium
SHP1409,Emirates Retail,Qingdao,Jebel Ali,Evergreen,2024-02-12,2024-02-15,2024-03-06,2024-02-16,2024-03-09,20,22,2,Customs Hold,Delayed,Medium
SHP1410,Al Noor Trading,Shanghai,Abu Dhabi,Maersk,2024-05-27,2024-05-30,2024-06-16,2024-05-31,2024-06-17,17,17,0,None,On Time,Medium
SHP1411,Gulf Imports,Qingdao,Jebel Ali,ONE,2024-03-07,2024-03-10,2024-03-25,2024-03-11,2024-03-25,15,14,0,None,On Time,High
SHP1412,Blue Ocean LLC,Singapore,Jebel Ali,Hapag Lloyd,2024-05-20,2024-05-23,2024-06-07,2024-05-24,2024-06-09,15,16,1,Port Congestion,Delayed,Medium
SHP1413,Gulf Imports,Ningbo,Abu Dhabi,ONE,2024-02-10,2024-02-13,2024-02-27,2024-02-14,2024-02-27,14,13,0,None,On Time,Low
SHP1414,Gulf Imports,Shanghai,Jebel Ali,COSCO,2024-05-18,2024-05-21,2024-06-08,2024-05-22,2024-06-13,18,22,4,Customs Hold,Delayed,Low
SHP1415,Desert Mart,Shanghai,Abu Dhabi,Maersk,2024-05-20,2024-05-23,2024-06-13,2024-05-23,2024-06-13,21,21,0,None,On Time,Medium
SHP1416,Al Noor Trading,Ningbo,Jebel Ali,ONE,2024-06-18,2024-06-21,2024-07-12,2024-06-21,2024-07-12,21,21,0,None,On Time,Medium
SHP1417,Arabian Supplies,Qingdao,Abu Dhabi,COSCO,2024-01-21,2024-01-24,2024-02-14,2024-01-24,2024-02-19,21,26,5,Customs Hold,Delayed,Low
SHP1418,Desert Mart,Qingdao,Abu Dhabi,MSC,2024-03-08,2024-03-11,2024-03-26,2024-03-12,2024-03-31,15,19,4,Weather,Delayed,Medium
SHP1419,Gulf Imports,Shenzhen,Jebel Ali,MSC,2024-01-12,2024-01-15,2024-02-02,2024-01-16,2024-02-05,18,20,2,Customs Hold,Delayed,Low
SHP1420,Arabian Supplies,Busan,Abu Dhabi,Evergreen,2024-06-19,2024-06-22,2024-07-07,2024-06-23,2024-07-07,15,14,0,None,On Time,Low
SHP1421,Blue Ocean LLC,Busan,Abu Dhabi,Hapag Lloyd,2024-02-28,2024-03-02,2024-03-16,2024-03-03,2024-03-22,14,19,5,Documentation Issue,Delayed,High
SHP1422,Arabian Supplies,Singapore,Jebel Ali,Hapag Lloyd,2024-05-01,2024-05-04,2024-05-22,2024-05-05,2024-05-22,18,17,0,None,On Time,Low
SHP1423,Gulf Imports,Ningbo,Jebel Ali,Evergreen,2024-05-12,2024-05-15,2024-05-31,2024-05-16,2024-05-31,16,15,0,None,On Time,High
SHP1424,Gulf Imports,Singapore,Jebel Ali,Evergreen,2024-02-02,2024-02-05,2024-02-19,2024-02-05,2024-02-21,14,16,2,Vessel Rollover,Delayed,Low
SHP1425,Blue Ocean LLC,Busan,Abu Dhabi,Hapag Lloyd,2024-03-07,2024-03-10,2024-03-29,2024-03-10,2024-04-02,19,23,4,Port Congestion,Delayed,Medium
SHP1426,Emirates Retail,Busan,Abu Dhabi,Maersk,2024-03-11,2024-03-14,2024-04-04,2024-03-14,2024-04-09,21,26,5,Documentation Issue,Delayed,Medium
SHP1427,Emirates Retail,Shanghai,Abu Dhabi,Evergreen,2024-02-08,2024-02-11,2024-02-27,2024-02-11,2024-03-01,16,19,3,Port Congestion,Delayed,Low
SHP1428,Emirates Retail,Busan,Abu Dhabi,Maersk,2024-03-29,2024-04-01,2024-04-21,2024-04-02,2024-04-23,20,21,1,Vessel Rollover,Delayed,High
SHP1429,Al Noor Trading,Qingdao,Abu Dhabi,ONE,2024-03-11,2024-03-14,2024-04-03,2024-03-15,2024-04-04,20,20,0,None,On Time,High
SHP1430,Desert Mart,Shenzhen,Abu Dhabi,CMA CGM,2024-01-13,2024-01-16,2024-02-06,2024-01-17,2024-02-08,21,22,1,Port Congestion,Delayed,Medium
SHP1431,Desert Mart,Singapore,Abu Dhabi,Evergreen,2024-06-27,2024-06-30,2024-07-15,2024-06-30,2024-07-20,15,20,5,Weather,Delayed,Medium
SHP1432,Blue Ocean LLC,Ningbo,Abu Dhabi,ONE,2024-03-09,2024-03-12,2024-04-01,2024-03-12,2024-04-04,20,23,3,Weather,Delayed,Medium
SHP1433,Arabian Supplies,Ningbo,Jebel Ali,CMA CGM,2024-05-12,2024-05-15,2024-06-03,2024-05-15,2024-06-08,19,24,5,Documentation Issue,Delayed,Low
SHP1434,Gulf Imports,Ningbo,Jebel Ali,Evergreen,2024-05-09,2024-05-12,2024-06-01,2024-05-12,2024-06-01,20,20,0,None,On Time,High
SHP1435,Falcon Electronics,Ningbo,Abu Dhabi,CMA CGM,2024-03-04,2024-03-07,2024-03-21,2024-03-07,2024-03-23,14,16,2,Customs Hold,Delayed,Medium
SHP1436,Gulf Imports,Shenzhen,Abu Dhabi,Hapag Lloyd,2024-05-09,2024-05-12,2024-06-01,2024-05-12,2024-06-05,20,24,4,Port Congestion,Delayed,Medium
SHP1437,Gulf Imports,Shenzhen,Jebel Ali,CMA CGM,2024-02-15,2024-02-18,2024-03-10,2024-02-19,2024-03-14,21,24,3,Customs Hold,Delayed,High
SHP1438,Arabian Supplies,Ningbo,Jebel Ali,ONE,2024-04-08,2024-04-11,2024-04-25,2024-04-11,2024-04-25,14,14,0,None,On Time,High
SHP1439,Blue Ocean LLC,Ningbo,Jebel Ali,Hapag Lloyd,2024-03-09,2024-03-12,2024-04-01,2024-03-12,2024-04-04,20,23,3,Port Congestion,Delayed,High
SHP1440,Blue Ocean LLC,Qingdao,Abu Dhabi,COSCO,2024-02-27,2024-03-01,2024-03-19,2024-03-02,2024-03-23,18,21,3,Customs Hold,Delayed,Medium
SHP1441,Al Noor Trading,Shanghai,Abu Dhabi,Hapag Lloyd,2024-02-25,2024-02-28,2024-03-20,2024-02-29,2024-03-22,21,22,1,Documentation Issue,Delayed,Low
SHP1442,Al Noor Trading,Shenzhen,Abu Dhabi,ONE,2024-06-01,2024-06-04,2024-06-22,2024-06-04,2024-06-23,18,19,1,Vessel Rollover,Delayed,Medium
SHP1443,Gulf Imports,Busan,Jebel Ali,Maersk,2024-03-11,2024-03-14,2024-04-01,2024-03-15,2024-04-06,18,22,4,Weather,Delayed,Low
SHP1444,Falcon Electronics,Qingdao,Abu Dhabi,CMA CGM,2024-04-13,2024-04-16,2024-05-05,2024-04-16,2024-05-09,19,23,4,Port Congestion,Delayed,Medium
SHP1445,Falcon Electronics,Busan,Jebel Ali,CMA CGM,2024-04-13,2024-04-16,2024-05-06,2024-04-16,2024-05-10,20,24,4,Documentation Issue,Delayed,Low
SHP1446,Desert Mart,Ningbo,Jebel Ali,CMA CGM,2024-02-26,2024-02-29,2024-03-21,2024-03-01,2024-03-26,21,25,4,Documentation Issue,Delayed,High
SHP1447,Arabian Supplies,Ningbo,Abu Dhabi,ONE,2024-04-30,2024-05-03,2024-05-19,2024-05-04,2024-05-24,16,20,4,Documentation Issue,Delayed,High
SHP1448,Blue Ocean LLC,Shenzhen,Abu Dhabi,CMA CGM,2024-02-26,2024-02-29,2024-03-19,2024-03-01,2024-03-20,19,19,0,None,On Time,Low
SHP1449,Al Noor Trading,Singapore,Jebel Ali,COSCO,2024-03-16,2024-03-19,2024-04-09,2024-03-19,2024-04-14,21,26,5,Vessel Rollover,Delayed,High
SHP1450,Desert Mart,Qingdao,Jebel Ali,Evergreen,2024-05-08,2024-05-11,2024-05-26,2024-05-12,2024-06-01,15,20,5,Documentation Issue,Delayed,High
SHP1451,Blue Ocean LLC,Ningbo,Abu Dhabi,Evergreen,2024-02-05,2024-02-08,2024-02-25,2024-02-09,2024-02-27,17,18,1,Documentation Issue,Delayed,Low
SHP1452,Desert Mart,Singapore,Jebel Ali,Maersk,2024-02-16,2024-02-19,2024-03-05,2024-02-20,2024-03-08,15,17,2,Weather,Delayed,Medium
SHP1453,Arabian Supplies,Ningbo,Abu Dhabi,Evergreen,2024-03-11,2024-03-14,2024-03-31,2024-03-14,2024-04-05,17,22,5,Documentation Issue,Delayed,High
SHP1454,Blue Ocean LLC,Qingdao,Abu Dhabi,Maersk,2024-02-03,2024-02-06,2024-02-26,2024-02-07,2024-03-02,20,24,4,Vessel Rollover,Delayed,High
SHP1455,Desert Mart,Busan,Jebel Ali,Maersk,2024-05-16,2024-05-19,2024-06-05,2024-05-20,2024-06-10,17,21,4,Port Congestion,Delayed,Low
SHP1456,Desert Mart,Ningbo,Jebel Ali,COSCO,2024-01-02,2024-01-05,2024-01-22,2024-01-06,2024-01-23,17,17,0,None,On Time,Low
SHP1457,Arabian Supplies,Shanghai,Abu Dhabi,CMA CGM,2024-05-30,2024-06-02,2024-06-20,2024-06-02,2024-06-20,18,18,0,None,On Time,Medium
SHP1458,Blue Ocean LLC,Shenzhen,Jebel Ali,MSC,2024-05-13,2024-05-16,2024-06-04,2024-05-16,2024-06-06,19,21,2,Customs Hold,Delayed,Medium
SHP1459,Gulf Imports,Singapore,Jebel Ali,Hapag Lloyd,2024-01-05,2024-01-08,2024-01-25,2024-01-08,2024-01-25,17,17,0,None,On Time,Low
SHP1460,Falcon Electronics,Shenzhen,Jebel Ali,Hapag Lloyd,2024-02-13,2024-02-16,2024-03-02,2024-02-16,2024-03-03,15,16,1,Vessel Rollover,Delayed,High
SHP1461,Falcon Electronics,Shanghai,Abu Dhabi,COSCO,2024-06-18,2024-06-21,2024-07-06,2024-06-21,2024-07-10,15,19,4,Port Congestion,Delayed,Medium
SHP1462,Falcon Electronics,Singapore,Jebel Ali,CMA CGM,2024-02-01,2024-02-04,2024-02-22,2024-02-04,2024-02-24,18,20,2,Weather,Delayed,Medium
SHP1463,Emirates Retail,Singapore,Jebel Ali,COSCO,2024-06-18,2024-06-21,2024-07-06,2024-06-22,2024-07-11,15,19,4,Documentation Issue,Delayed,High
SHP1464,Blue Ocean LLC,Ningbo,Jebel Ali,Evergreen,2024-05-10,2024-05-13,2024-05-28,2024-05-13,2024-05-29,15,16,1,Port Congestion,Delayed,Medium
SHP1465,Gulf Imports,Shanghai,Abu Dhabi,MSC,2024-05-13,2024-05-16,2024-06-02,2024-05-17,2024-06-04,17,18,1,Customs Hold,Delayed,Low
SHP1466,Al Noor Trading,Singapore,Jebel Ali,Maersk,2024-05-03,2024-05-06,2024-05-25,2024-05-06,2024-05-25,19,19,0,None,On Time,Low
SHP1467,Arabian Supplies,Busan,Jebel Ali,ONE,2024-06-20,2024-06-23,2024-07-14,2024-06-23,2024-07-14,21,21,0,None,On Time,Low
SHP1468,Desert Mart,Shenzhen,Abu Dhabi,Maersk,2024-01-26,2024-01-29,2024-02-16,2024-01-29,2024-02-20,18,22,4,Vessel Rollover,Delayed,High
SHP1469,Arabian Supplies,Singapore,Abu Dhabi,COSCO,2024-02-14,2024-02-17,2024-03-02,2024-02-18,2024-03-08,14,19,5,Customs Hold,Delayed,Low
SHP1470,Arabian Supplies,Ningbo,Jebel Ali,CMA CGM,2024-01-30,2024-02-02,2024-02-17,2024-02-02,2024-02-22,15,20,5,Port Congestion,Delayed,Medium
SHP1471,Arabian Supplies,Shenzhen,Jebel Ali,Maersk,2024-04-22,2024-04-25,2024-05-13,2024-04-25,2024-05-17,18,22,4,Customs Hold,Delayed,Medium
SHP1472,Arabian Supplies,Qingdao,Jebel Ali,Maersk,2024-04-12,2024-04-15,2024-05-06,2024-04-16,2024-05-08,21,22,1,Vessel Rollover,Delayed,High
SHP1473,Blue Ocean LLC,Busan,Abu Dhabi,Evergreen,2024-06-27,2024-06-30,2024-07-14,2024-06-30,2024-07-19,14,19,5,Port Congestion,Delayed,Low
SHP1474,Arabian Supplies,Shenzhen,Jebel Ali,Evergreen,2024-06-22,2024-06-25,2024-07-16,2024-06-26,2024-07-17,21,21,0,None,On Time,Low
SHP1475,Blue Ocean LLC,Shanghai,Jebel Ali,CMA CGM,2024-02-03,2024-02-06,2024-02-27,2024-02-06,2024-02-29,21,23,2,Vessel Rollover,Delayed,Low
SHP1476,Emirates Retail,Busan,Jebel Ali,COSCO,2024-03-21,2024-03-24,2024-04-07,2024-03-24,2024-04-11,14,18,4,Customs Hold,Delayed,Low
SHP1477,Arabian Supplies,Busan,Jebel Ali,Maersk,2024-03-04,2024-03-07,2024-03-28,2024-03-08,2024-03-30,21,22,1,Weather,Delayed,Low
SHP1478,Al Noor Trading,Qingdao,Abu Dhabi,MSC,2024-02-10,2024-02-13,2024-03-05,2024-02-14,2024-03-11,21,26,5,Weather,Delayed,Medium
SHP1479,Falcon Electronics,Qingdao,Abu Dhabi,Evergreen,2024-03-12,2024-03-15,2024-03-29,2024-03-15,2024-04-01,14,17,3,Documentation Issue,Delayed,High
SHP1480,Arabian Supplies,Qingdao,Abu Dhabi,CMA CGM,2024-01-21,2024-01-24,2024-02-14,2024-01-25,2024-02-17,21,23,2,Port Congestion,Delayed,High
SHP1481,Blue Ocean LLC,Shanghai,Jebel Ali,Evergreen,2024-05-07,2024-05-10,2024-05-24,2024-05-11,2024-05-24,14,13,0,None,On Time,High
SHP1482,Desert Mart,Shenzhen,Jebel Ali,Evergreen,2024-06-03,2024-06-06,2024-06-24,2024-06-06,2024-06-27,18,21,3,Vessel Rollover,Delayed,High
SHP1483,Falcon Electronics,Qingdao,Jebel Ali,Maersk,2024-04-26,2024-04-29,2024-05-18,2024-04-30,2024-05-22,19,22,3,Customs Hold,Delayed,Low
SHP1484,Emirates Retail,Busan,Abu Dhabi,ONE,2024-02-26,2024-02-29,2024-03-14,2024-03-01,2024-03-16,14,15,1,Customs Hold,Delayed,High
SHP1485,Al Noor Trading,Shenzhen,Jebel Ali,MSC,2024-01-12,2024-01-15,2024-01-31,2024-01-15,2024-02-02,16,18,2,Vessel Rollover,Delayed,High
SHP1486,Al Noor Trading,Qingdao,Jebel Ali,ONE,2024-04-10,2024-04-13,2024-04-30,2024-04-13,2024-05-02,17,19,2,Customs Hold,Delayed,Low
SHP1487,Falcon Electronics,Busan,Jebel Ali,COSCO,2024-05-30,2024-06-02,2024-06-17,2024-06-03,2024-06-23,15,20,5,Vessel Rollover,Delayed,High
SHP1488,Blue Ocean LLC,Busan,Jebel Ali,ONE,2024-05-15,2024-05-18,2024-06-01,2024-05-19,2024-06-05,14,17,3,Documentation Issue,Delayed,Low
SHP1489,Falcon Electronics,Busan,Abu Dhabi,Hapag Lloyd,2024-02-14,2024-02-17,2024-03-04,2024-02-18,2024-03-04,16,15,0,None,On Time,Medium
SHP1490,Desert Mart,Qingdao,Jebel Ali,MSC,2024-04-17,2024-04-20,2024-05-07,2024-04-21,2024-05-09,17,18,1,Customs Hold,Delayed,Medium
SHP1491,Falcon Electronics,Ningbo,Jebel Ali,MSC,2024-06-03,2024-06-06,2024-06-24,2024-06-07,2024-06-30,18,23,5,Documentation Issue,Delayed,Low
SHP1492,Emirates Retail,Busan,Abu Dhabi,ONE,2024-03-15,2024-03-18,2024-04-06,2024-03-18,2024-04-10,19,23,4,Weather,Delayed,High
SHP1493,Desert Mart,Qingdao,Jebel Ali,Hapag Lloyd,2024-03-31,2024-04-03,2024-04-24,2024-04-04,2024-04-28,21,24,3,Documentation Issue,Delayed,High
SHP1494,Falcon Electronics,Shanghai,Jebel Ali,CMA CGM,2024-01-07,2024-01-10,2024-01-30,2024-01-10,2024-01-30,20,20,0,None,On Time,High
SHP1495,Falcon Electronics,Shenzhen,Jebel Ali,Evergreen,2024-03-14,2024-03-17,2024-04-04,2024-03-17,2024-04-04,18,18,0,None,On Time,Low
SHP1496,Emirates Retail,Singapore,Jebel Ali,ONE,2024-01-09,2024-01-12,2024-01-31,2024-01-13,2024-02-06,19,24,5,Port Congestion,Delayed,Low
SHP1497,Falcon Electronics,Singapore,Jebel Ali,COSCO,2024-05-23,2024-05-26,2024-06-15,2024-05-27,2024-06-16,20,20,0,None,On Time,Medium
SHP1498,Falcon Electronics,Shenzhen,Jebel Ali,Hapag Lloyd,2024-04-16,2024-04-19,2024-05-08,2024-04-19,2024-05-11,19,22,3,Port Congestion,Delayed,Medium
SHP1499,Desert Mart,Qingdao,Jebel Ali,ONE,2024-02-27,2024-03-01,2024-03-20,2024-03-01,2024-03-25,19,24,5,Weather,Delayed,High
SHP1500,Al Noor Trading,Qingdao,Abu Dhabi,Hapag Lloyd,2024-02-17,2024-02-20,2024-03-07,2024-02-20,2024-03-11,16,20,4,Vessel Rollover,Delayed,Medium
SHP1501,Desert Mart,Qingdao,Jebel Ali,Maersk,2024-02-03,2024-02-06,2024-02-22,2024-02-07,2024-02-26,16,19,3,Port Congestion,Delayed,High
SHP1502,Arabian Supplies,Busan,Abu Dhabi,Maersk,2024-03-23,2024-03-26,2024-04-09,2024-03-27,2024-04-15,14,19,5,Vessel Rollover,Delayed,Low
SHP1503,Arabian Supplies,Busan,Jebel Ali,COSCO,2024-03-22,2024-03-25,2024-04-11,2024-03-25,2024-04-11,17,17,0,None,On Time,Low
SHP1504,Gulf Imports,Ningbo,Abu Dhabi,CMA CGM,2024-05-17,2024-05-20,2024-06-09,2024-05-21,2024-06-09,20,19,0,None,On Time,Medium
SHP1505,Arabian Supplies,Singapore,Jebel Ali,Maersk,2024-03-16,2024-03-19,2024-04-05,2024-03-20,2024-04-11,17,22,5,Documentation Issue,Delayed,Low
SHP1506,Al Noor Trading,Singapore,Abu Dhabi,COSCO,2024-03-29,2024-04-01,2024-04-22,2024-04-01,2024-04-22,21,21,0,None,On Time,High
SHP1507,Emirates Retail,Shenzhen,Abu Dhabi,COSCO,2024-04-08,2024-04-11,2024-04-29,2024-04-12,2024-05-03,18,21,3,Port Congestion,Delayed,High
SHP1508,Gulf Imports,Busan,Jebel Ali,ONE,2024-03-16,2024-03-19,2024-04-05,2024-03-19,2024-04-06,17,18,1,Port Congestion,Delayed,High
SHP1509,Gulf Imports,Busan,Abu Dhabi,ONE,2024-02-23,2024-02-26,2024-03-14,2024-02-27,2024-03-20,17,22,5,Port Congestion,Delayed,High
SHP1510,Falcon Electronics,Shenzhen,Jebel Ali,Maersk,2024-06-24,2024-06-27,2024-07-13,2024-06-28,2024-07-13,16,15,0,None,On Time,High
SHP1511,Al Noor Trading,Busan,Jebel Ali,CMA CGM,2024-01-14,2024-01-17,2024-02-02,2024-01-18,2024-02-08,16,21,5,Documentation Issue,Delayed,Medium
SHP1512,Desert Mart,Shanghai,Abu Dhabi,ONE,2024-04-09,2024-04-12,2024-05-03,2024-04-13,2024-05-08,21,25,4,Vessel Rollover,Delayed,High
SHP1513,Al Noor Trading,Singapore,Jebel Ali,CMA CGM,2024-05-16,2024-05-19,2024-06-02,2024-05-19,2024-06-06,14,18,4,Documentation Issue,Delayed,Low
SHP1514,Al Noor Trading,Shenzhen,Abu Dhabi,COSCO,2024-01-28,2024-01-31,2024-02-18,2024-02-01,2024-02-24,18,23,5,Documentation Issue,Delayed,Medium
SHP1515,Gulf Imports,Ningbo,Abu Dhabi,Evergreen,2024-06-18,2024-06-21,2024-07-05,2024-06-21,2024-07-07,14,16,2,Documentation Issue,Delayed,Low
SHP1516,Emirates Retail,Busan,Jebel Ali,Maersk,2024-03-16,2024-03-19,2024-04-04,2024-03-20,2024-04-06,16,17,1,Port Congestion,Delayed,High
SHP1517,Gulf Imports,Singapore,Abu Dhabi,MSC,2024-01-02,2024-01-05,2024-01-25,2024-01-05,2024-01-28,20,23,3,Customs Hold,Delayed,Medium
SHP1518,Gulf Imports,Busan,Abu Dhabi,MSC,2024-06-14,2024-06-17,2024-07-03,2024-06-17,2024-07-03,16,16,0,None,On Time,High
SHP1519,Al Noor Trading,Shenzhen,Jebel Ali,CMA CGM,2024-02-16,2024-02-19,2024-03-04,2024-02-20,2024-03-10,14,19,5,Documentation Issue,Delayed,High
SHP1520,Falcon Electronics,Singapore,Jebel Ali,Maersk,2024-02-20,2024-02-23,2024-03-15,2024-02-24,2024-03-17,21,22,1,Weather,Delayed,Medium
SHP1521,Blue Ocean LLC,Qingdao,Abu Dhabi,Hapag Lloyd,2024-06-07,2024-06-10,2024-06-25,2024-06-11,2024-06-26,15,15,0,None,On Time,Low
SHP1522,Blue Ocean LLC,Ningbo,Jebel Ali,CMA CGM,2024-03-19,2024-03-22,2024-04-07,2024-03-23,2024-04-11,16,19,3,Customs Hold,Delayed,High
SHP1523,Falcon Electronics,Singapore,Abu Dhabi,COSCO,2024-02-26,2024-02-29,2024-03-20,2024-03-01,2024-03-22,20,21,1,Weather,Delayed,Medium
SHP1524,Emirates Retail,Shanghai,Jebel Ali,ONE,2024-04-24,2024-04-27,2024-05-16,2024-04-28,2024-05-22,19,24,5,Vessel Rollover,Delayed,Low
SHP1525,Gulf Imports,Shenzhen,Jebel Ali,ONE,2024-01-21,2024-01-24,2024-02-11,2024-01-24,2024-02-16,18,23,5,Documentation Issue,Delayed,High
SHP1526,Gulf Imports,Shanghai,Abu Dhabi,Hapag Lloyd,2024-01-05,2024-01-08,2024-01-22,2024-01-09,2024-01-28,14,19,5,Documentation Issue,Delayed,Low
SHP1527,Arabian Supplies,Busan,Abu Dhabi,MSC,2024-04-30,2024-05-03,2024-05-19,2024-05-04,2024-05-21,16,17,1,Weather,Delayed,Medium
